             x               y  bin
    -18.399969      -8.8000433  161
    -18.399904      -7.9999403  161
    -18.400035      -7.1999257  161
    -18.399968      -6.3999932  161
    -18.400052      -5.6000206  160
    -18.399969      -4.8000313  160
    -18.399997      -3.9999153  168
    -18.400022      -3.1999723  168
    -18.400083      -2.4000547  168
    -18.399978       -1.600078  168
    -18.400032     -0.79999212  166
    -18.399912   -6.992928e-05  166
    -18.399994      0.80000648  174
    -18.400013       1.6000782  174
    -18.400045       2.3999015  184
    -18.400097       3.2000933  184
      -18.4001       3.9999397  184
    -18.399912       4.8000118  184
    -18.400045       5.6000875  266
    -18.400033       6.3999834  266
    -18.399962       7.2000946  266
    -18.399961       7.9999633  266
    -18.399999       8.8000699  266
     -18.40003       9.6000417  266
    -18.399903       10.399977  336
    -18.400051       11.200099  336
    -18.400017       12.000017  336
    -18.400013       12.800094  336
    -18.399918       13.599988  336
    -18.400044       14.400001  354
    -18.400078       15.199956  354
    -18.399933       15.999907  354
     -18.39997       16.800027  354
    -18.400064        17.60001  354
    -18.400081       18.400062  354
    -18.399913       19.199981  354
    -18.400044       20.000041  354
    -18.400018       20.800032  353
    -17.599927      -19.999943  167
    -17.599921      -19.199905  167
         -17.6      -18.400085  167
     -17.59993      -17.600099  167
    -17.599922      -16.800011  167
    -17.600087      -16.000081  167
     -17.59997      -15.200052  159
     -17.60004      -14.399932  159
    -17.599988      -13.600078  159
    -17.600074      -12.800086  159
    -17.599932      -11.999946  159
    -17.600032      -11.199977  159
    -17.600067      -10.400067  159
    -17.600033      -9.6000102  161
    -17.599955      -8.8000051  161
    -17.600068      -8.0000437  161
    -17.599979      -7.2000294  161
     -17.59998      -6.4000942  160
    -17.599911      -5.6000463  160
    -17.599958      -4.8000642  160
    -17.599927      -3.9999431  160
    -17.600077      -3.1999769  168
    -17.600027      -2.4000298  166
    -17.600024      -1.6000579  166
    -17.600086     -0.79997103  166
     -17.60005   3.9756858e-05  166
    -17.600068      0.79990043  174
    -17.599973       1.6000278  174
    -17.600021       2.4000813  174
    -17.600012       3.2000016  174
    -17.600027       3.9999975  174
    -17.599907       4.8000161  186
    -17.600022        5.600068  186
    -17.600018       6.3999423  186
    -17.599924       7.1999417  266
    -17.600059       8.0000871  266
    -17.600025       8.7999306  266
    -17.599991       9.5999715  267
    -17.599967        10.39994  336
    -17.600036       11.200029  336
    -17.600073       11.999924  336
    -17.599906       12.800023  336
    -17.599957       13.599945  336
      -17.6001       14.400016  354
    -17.600039       15.199948  354
    -17.600025       16.000063  354
    -17.599977       16.799927  354
    -17.600069        17.59993  354
    -17.600008       18.399986  354
    -17.600022       19.200027  354
    -17.599967        20.00005  353
    -17.600041       20.800009  353
    -16.799945      -20.000006  158
    -16.799931       -19.19996  158
    -16.800047      -18.399943  158
    -16.799935      -17.599964  158
    -16.799913      -16.800057  158
    -16.800077      -15.999949  159
    -16.800028      -15.200021  159
    -16.800006      -14.399908  159
    -16.800092      -13.600046  159
    -16.800022      -12.800063  159
    -16.799949      -12.000017  159
    -16.800024      -11.200002  159
    -16.800055      -10.399911  159
    -16.799959      -9.5999007  153
    -16.799918      -8.8000456  153
    -16.800083      -8.0000781  153
    -16.799933      -7.1999438  160
    -16.799982      -6.4000569  160
    -16.799947      -5.6000179  160
    -16.800095      -4.7999253  160
    -16.800022      -3.9999379  160
    -16.799918      -3.1999187  160
     -16.80006      -2.3999094  166
    -16.799982      -1.5999552  166
    -16.800035     -0.79996687  166
    -16.800012    8.921176e-05  166
    -16.799929       0.7999461  174
    -16.800094       1.6000085  174
    -16.800054       2.4000348  174
    -16.799901       3.2000366  174
    -16.799978       4.0000787  174
    -16.800007       4.7999479  186
    -16.800028       5.6000812  186
    -16.800083       6.4000651  186
    -16.800027       7.2000314  186
    -16.800008       7.9999972  267
    -16.799964       8.8000254  267
     -16.79993       9.5999042  267
    -16.800099       10.400015  267
    -16.800082       11.200065  333
    -16.799908        12.00009  333
     -16.80009       12.800056  333
    -16.799931       13.599989  333
    -16.799918       14.399936  354
    -16.800017        15.19995  354
    -16.799908       16.000049  354
    -16.799943       16.800072  354
    -16.800065       17.600053  354
    -16.799961       18.400074  354
    -16.800044       19.200038  353
    -16.799961       20.000073  353
    -16.799922       20.800046  353
    -15.999917      -20.799988  158
    -15.999969      -19.999934  158
    -15.999975      -19.200022  158
    -15.999921      -18.400045  158
    -15.999987      -17.600001  158
     -15.99994      -16.800031  158
     -15.99995      -15.999966  158
    -15.999913      -15.200052  159
    -15.999989      -14.400079  159
    -15.999919      -13.600088  159
    -16.000096      -12.800054  159
    -16.000087      -12.000056  159
    -16.000031      -11.200038  159
    -15.999908      -10.400095  153
    -15.999956      -9.5999262  153
     -16.00009      -8.8000877  153
    -15.999971      -8.0000553  153
    -16.000068       -7.200065  160
    -16.000073      -6.3999128  160
    -16.000025      -5.5999002  160
    -15.999994      -4.7999699  160
    -15.999953      -4.0000928  160
    -15.999934      -3.2000892  160
    -16.000015      -2.3999134  166
    -16.000021      -1.6000591  166
    -16.000052     -0.79998646  166
    -15.999953  -9.3426406e-06  166
    -16.000069      0.80001915  174
    -15.999929       1.5999548  174
    -15.999936       2.3999971  174
    -15.999937        3.199956  174
    -16.000032       4.0000317  174
    -16.000046       4.7999049  186
    -15.999958       5.6000592  186
     -16.00001         6.40007  186
    -15.999961       7.2000352  186
    -15.999997       7.9999266  267
    -15.999944       8.7999379  267
    -16.000043       9.5999344  267
    -16.000021       10.400019  267
    -16.000027       11.200026  333
    -16.000073       12.000036  333
    -16.000081       12.799976  333
    -16.000085       13.600024  333
    -16.000081       14.400031  354
    -15.999967       15.199922  354
     -16.00002       16.000054  354
    -15.999994       16.800088  354
    -15.999998       17.599961  354
    -16.000049       18.400019  353
    -15.999919       19.199987  353
    -16.000056       19.999998  353
    -15.999944       20.799942  353
    -15.199913      -20.799962  158
    -15.200069      -19.999942  158
    -15.200014      -19.199912  158
     -15.19993      -18.400068  158
    -15.200045      -17.599992  158
    -15.199972      -16.799945  158
    -15.199936      -15.999999  158
    -15.200099      -15.200031  158
    -15.200073      -14.399947  159
    -15.199906      -13.600088  159
    -15.199979      -12.799962  159
    -15.200039      -11.999971  159
    -15.200092      -11.199941  153
    -15.200028      -10.400094  153
     -15.19999      -9.6000661  153
    -15.200046      -8.8000767  153
    -15.199959       -8.000009  153
    -15.199932       -7.200064  153
    -15.199994      -6.3999557  160
