#              x               y      signal       noise
      -19.199908      -16.000067       38.42        6.38
      -19.199959      -15.200083       43.07        6.86
      -19.200092      -14.399932       45.95        7.15
      -19.200022      -13.599973       47.55        6.98
      -19.200065      -12.800003       48.94        7.51
      -19.200034      -11.999941       52.97        7.62
      -19.200077      -11.199952       56.41        8.22
      -19.200022      -10.400035       58.26        7.98
      -19.200040      -9.5999633       68.48        8.49
      -19.199994      -8.7999798       72.48        7.93
      -19.200050      -7.9999424       72.25        9.18
      -19.200051      -7.2000370       84.71        9.40
      -19.200011      -6.4000243       90.13        9.44
      -19.199981      -5.6000955       93.45       10.04
      -19.199908      -4.7999081      100.94       10.09
      -19.199906      -4.0000778      107.07       10.11
      -19.199924      -3.1999642      119.40       10.85
      -19.199975      -2.4000050      112.35       11.30
      -19.200046      -1.6000202      125.18       11.14
      -19.199972     -0.79992406      130.99       11.08
      -19.200033 -4.5285033e-005      101.00       10.07
      -19.199923      0.79997775      103.02        9.41
      -19.200087       1.6000009      101.62       10.64
      -19.199995       2.4000359      101.52       10.66
      -19.200052       3.1999642      110.48       10.46
      -19.199907       4.0000237      114.09       10.27
      -19.200024       4.7999364      117.84       11.41
      -19.199957       5.5999231      136.23       12.07
      -19.199945       6.4000479      131.45       10.68
      -19.200018       7.1999196       93.13        8.91
      -19.200069       7.9999916      101.44       10.38
      -19.200033       8.7999869      103.80       10.12
      -19.200004       9.5999283       99.81       10.17
      -19.199961       10.400057       85.20        9.76
      -19.199983       11.199963       80.30        9.59
      -19.199965       12.000026       84.75        8.06
      -19.199961       12.800091       66.67        8.18
      -19.199913       13.600073       67.86        8.07
      -19.200036       14.400096       65.94        8.26
      -19.200025       15.199960       56.87        6.90
      -19.200055       15.999965       51.04        7.45
      -19.199954       16.799938       46.62        7.00
      -19.200052       17.600036       43.51        5.86
      -19.199971       18.400031       45.03        7.55
      -19.200015       19.199989       37.31        5.99
      -19.200009       19.999962       33.68        6.26
      -19.199930       20.800087       32.90        6.17
      -18.400021      -20.000051       34.36        5.64
      -18.400032      -19.200053       34.08        5.82
      -18.399903      -18.399909       36.37        6.35
      -18.400077      -17.600094       38.76        6.36
      -18.399975      -16.800088       41.34        6.89
      -18.399904      -15.999961       39.88        6.32
      -18.400084      -15.200055       41.74        6.93
      -18.400011      -14.399991       44.82        6.35
      -18.399946      -13.600062       51.30        6.57
      -18.399975      -12.800099       51.56        7.51
      -18.399938      -11.999907       55.60        7.71
      -18.400009      -11.200038       58.27        7.62
      -18.400017      -10.399953       65.43        8.34
      -18.400004      -9.6000928       74.71        9.43
      -18.399969      -8.8000433       77.88        8.56
      -18.399904      -7.9999403       81.01        8.88
      -18.400035      -7.1999257       99.20       10.19
      -18.399968      -6.3999932       93.61       10.21
